Date,State,Cases
2020-03-03,Baden-Württemberg,28
2020-03-03,Bayern,37
2020-03-03,Berlin,3
2020-03-03,Brandenburg,1
2020-03-03,Bremen,2
2020-03-03,Hamburg,2
2020-03-03,Hessen,12
2020-03-03,Mecklenburg-Vorpommern,0
2020-03-03,Niedersachsen,2
2020-03-03,Nordrhein-Westfalen,103
2020-03-03,Rheinland-Pfalz,2
2020-03-03,Saarland,0
2020-03-03,Sachsen,1
2020-03-03,Sachsen-Anhalt,0
2020-03-03,Schleswig-Holstein,2
2020-03-03,Thüringen,1
2020-03-04,Baden-Württemberg,50
2020-03-04,Bayern,48
2020-03-04,Berlin,7
2020-03-04,Brandenburg,1
2020-03-04,Bremen,3
2020-03-04,Hamburg,3
2020-03-04,Hessen,12
2020-03-04,Mecklenburg-Vorpommern,4
2020-03-04,Niedersachsen,7
2020-03-04,Nordrhein-Westfalen,115
2020-03-04,Rheinland-Pfalz,7
2020-03-04,Saarland,1
2020-03-04,Sachsen,1
2020-03-04,Sachsen-Anhalt,0
2020-03-04,Schleswig-Holstein,2
2020-03-04,Thüringen,1
2020-03-05,Baden-Württemberg,73
2020-03-05,Bayern,70
2020-03-05,Berlin,13
2020-03-05,Brandenburg,1
2020-03-05,Bremen,3
2020-03-05,Hamburg,5
2020-03-05,Hessen,14
2020-03-05,Mecklenburg-Vorpommern,4
2020-03-05,Niedersachsen,18
2020-03-05,Nordrhein-Westfalen,181
2020-03-05,Rheinland-Pfalz,8
2020-03-05,Saarland,1
2020-03-05,Sachsen,1
2020-03-05,Sachsen-Anhalt,0
2020-03-05,Schleswig-Holstein,7
2020-03-05,Thüringen,1
2020-03-06,Baden-Württemberg,96
2020-03-06,Bayern,117
2020-03-06,Berlin,19
2020-03-06,Brandenburg,2
2020-03-06,Bremen,4
2020-03-06,Hamburg,11
2020-03-06,Hessen,16
2020-03-06,Mecklenburg-Vorpommern,5
2020-03-06,Niedersachsen,18
2020-03-06,Nordrhein-Westfalen,329
2020-03-06,Rheinland-Pfalz,10
2020-03-06,Saarland,2
2020-03-06,Sachsen,2
2020-03-06,Sachsen-Anhalt,0
2020-03-06,Schleswig-Holstein,7
